CD_MUN,lat,long,Município,UF,População 2022,GRUPO,TEXTO
3166600,-45.777247,-19.385547,Serra da Saudade,MG,833,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2367 integrantes."
3507209,-50.502127,-22.244217,Borá,SP,907,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2293 integrantes."
5201207,-48.225379,-18.312362,Anhanguera,GO,924,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2276 integrantes."
5101209,-53.121275,-16.750515,Araguainha,MT,1.010,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2190 integrantes."
3532868,-50.345753,-20.77782,Nova Castilho,SP,1.062,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2138 integrantes."
3115607,-45.698626,-19.120895,Cedro do Abaeté,MG,1.081,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2119 integrantes."
4300661,-51.504193,-28.59427,André da Rocha,RS,1.135,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2065 integrantes."
1715507,-48.875805,-10.674488,Oliveira de Fátima,TO,1.164,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2036 integrantes."
4322350,-52.021529,-28.772499,União da Serra,RS,1.170,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 2030 integrantes."
3164803,-43.219483,-19.300504,São Sebastião do Rio Preto,MG,1.259,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1941 integrantes."
4305835,-52.126418,-29.168133,Coqueiro Baixo,RS,1.290,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1910 integrantes."
4306924,-52.908728,-27.684773,Engenho Velho,RS,1.296,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1904 integrantes."
2206308,-42.701316,-5.700953,Miguel Leão,PI,1.318,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1882 integrantes."
4116505,-52.610611,-23.1696,Nova Aliança do Ivaí,PR,1.323,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1877 integrantes."
